"Post","Kind","File","Path","Width","Height","Duration (s)","Bytes","SHA-256"
"01","square","post-01-company-introduction-square.png","public/social-posts/posters/square/post-01-company-introduction-square.png","1080","1080","","596026","38c09ec4666b5bd57b9b2901665bd550405ae78a7611d11b13c1ea7947089b8e"
"01","vertical","post-01-company-introduction-vertical.png","public/social-posts/posters/vertical/post-01-company-introduction-vertical.png","1080","1920","","1084414","78dea009aa0a609dc8ebb374ef7500fc0b2ad732d13188a9d9558a0672df71c9"
"01","video","post-01-company-introduction.mp4","public/social-posts/videos/post-01-company-introduction.mp4","1080","1920","19.0","911557","45adde66449e8df8477f8fe8f38ce54b9387c7cbc320dfc014308b0bc1c9ef55"
"02","square","post-02-accredited-skills-development-square.png","public/social-posts/posters/square/post-02-accredited-skills-development-square.png","1080","1080","","583383","f4158471319bd2635775f30723fffe89fe207570be54dea7e95140f54613d649"
"02","vertical","post-02-accredited-skills-development-vertical.png","public/social-posts/posters/vertical/post-02-accredited-skills-development-vertical.png","1080","1920","","1260833","64e63bafadec38876f0a482348110ba9bf89663b2ca5371bedbe6b6ed25c4bcf"
"02","video","post-02-accredited-skills-development.mp4","public/social-posts/videos/post-02-accredited-skills-development.mp4","1080","1920","19.0","544735","35a96152f5f9404a0e89213277e134832efab8c08c72cc690412c45ac53d3d89"
"03","square","post-03-production-technology-square.png","public/social-posts/posters/square/post-03-production-technology-square.png","1080","1080","","189447","7c7ee9cb4dc24acdccce9cdb392c2dc354328e8fd370d54a42b6700ab97e233a"
"03","vertical","post-03-production-technology-vertical.png","public/social-posts/posters/vertical/post-03-production-technology-vertical.png","1080","1920","","343396","4b4e1c9b4cefb25d5db36a891b969a7c392690c86cc4d504306c246d254b7649"
"03","video","post-03-production-technology.mp4","public/social-posts/videos/post-03-production-technology.mp4","1080","1920","18.8","521596","95d13e4145506bc88f8bd93df76f4e0e79f69be4447783db03730cad64546946"
"04","square","post-04-project-management-nqf5-square.png","public/social-posts/posters/square/post-04-project-management-nqf5-square.png","1080","1080","","547091","3eb6ff93231d879f3bcf6c8559ef6cfbb4a2bef3206b353bf1706f3a88a8405a"
"04","vertical","post-04-project-management-nqf5-vertical.png","public/social-posts/posters/vertical/post-04-project-management-nqf5-vertical.png","1080","1920","","933718","793ece136bda1e929a1d99ad757f611a6f8d0871d6a6b7eb0a0c7b9c0d3d32bf"
"04","video","post-04-project-management-nqf5.mp4","public/social-posts/videos/post-04-project-management-nqf5.mp4","1080","1920","19.0","504114","e8a1c2517ea092fd68b801f34ef740088f5b667f65ebd1efe5de51abe91c2917"
"05","square","post-05-office-supervisor-nqf5-square.png","public/social-posts/posters/square/post-05-office-supervisor-nqf5-square.png","1080","1080","","161507","66f49046d90fdc64f03420977e65247471708c3065dcabba9f01d9646d0af430"
"05","vertical","post-05-office-supervisor-nqf5-vertical.png","public/social-posts/posters/vertical/post-05-office-supervisor-nqf5-vertical.png","1080","1920","","300978","f669022a28dd26108fb3a519f1f0bf8f83167b35ba313181576a2e873fdf25a9"
"05","video","post-05-office-supervisor-nqf5.mp4","public/social-posts/videos/post-05-office-supervisor-nqf5.mp4","1080","1920","19.0","494995","09518186bcc8277dd0ffa76c90e8caa07bb55870e8a3506499fccd3cb0aa56e4"
"06","square","post-06-human-resources-square.png","public/social-posts/posters/square/post-06-human-resources-square.png","1080","1080","","517923","7df8539745da469289510298d18653fd8a159b4eb0ccaa5972c3c90d9ad85c34"
"06","vertical","post-06-human-resources-vertical.png","public/social-posts/posters/vertical/post-06-human-resources-vertical.png","1080","1920","","966469","7b4b67f8adc689866deee74558112913fe87f7aa79e793ea94c29e8cc04f544e"
"06","video","post-06-human-resources.mp4","public/social-posts/videos/post-06-human-resources.mp4","1080","1920","18.6","509417","c23fdc1a475053b4c97dbf3aa79ebceae66c57a915eceb361de5de5bfde4dd2b"
"07","square","post-07-marketing-coordinator-nqf5-square.png","public/social-posts/posters/square/post-07-marketing-coordinator-nqf5-square.png","1080","1080","","468535","fdaa82b1614ad7bdd603af077da7531a7dfb534bca59bac72674a61d0b6f294f"
"07","vertical","post-07-marketing-coordinator-nqf5-vertical.png","public/social-posts/posters/vertical/post-07-marketing-coordinator-nqf5-vertical.png","1080","1920","","869454","69a0ab1a1c5ba135f89c758993270484d3e7fdd8ba5706488abcee0532645623"
"07","video","post-07-marketing-coordinator-nqf5.mp4","public/social-posts/videos/post-07-marketing-coordinator-nqf5.mp4","1080","1920","19.0","482513","acdda862120fe02c8923419437d6a1ae24204f0a7ce4405f96428c3f84680532"
"08","square","post-08-early-childhood-development-square.png","public/social-posts/posters/square/post-08-early-childhood-development-square.png","1080","1080","","563232","dc6f198236078e2f1be481280fd9e5429e586194c7113f693cefcf2e83bc1f08"
"08","vertical","post-08-early-childhood-development-vertical.png","public/social-posts/posters/vertical/post-08-early-childhood-development-vertical.png","1080","1920","","1051846","5e359164cf58ac4cc5576928825b4b297d0b8dc835e53ca9b118ae95f7227160"
"08","video","post-08-early-childhood-development.mp4","public/social-posts/videos/post-08-early-childhood-development.mp4","1080","1920","19.0","987355","cd2cd30f6760774f6cd625504e0a6ab92ebb64134bed9d736e06e18a2492977a"
"09","square","post-09-youth-learnerships-square.png","public/social-posts/posters/square/post-09-youth-learnerships-square.png","1080","1080","","539465","fea34ffaf964586a660cb8001f41f985dc8ed0f27f383e486a1bb364f49de581"
"09","vertical","post-09-youth-learnerships-vertical.png","public/social-posts/posters/vertical/post-09-youth-learnerships-vertical.png","1080","1920","","1068103","e9ceedbadf95208cc6b7eea3f15a43a3b1ae41afaca93fd93014b40ac5cd6b26"
"09","video","post-09-youth-learnerships.mp4","public/social-posts/videos/post-09-youth-learnerships.mp4","1080","1920","19.2","945129","ff4322428a035ba251281503e7e1e1e0c898a6f9d22d354943f043602ce77d81"
